# hz=15
# control_mode=yaw-roll-heading-hold
# yaw_controller_type=pi
# roll_controller_type=pi
# heading_controller_type=pid
# yaw_damper_gain=3.5
# yaw_damper_integral_gain=0.03
# yaw_damper_derivative_gain=0.0
# roll_damper_gain=1.0
# roll_damper_integral_gain=0.01
# roll_damper_derivative_gain=0.0
# roll_damper_max_yaw_rate_deg_s=5.0
# heading_hold_gain=0.7
# heading_hold_integral_gain=0.01
# heading_hold_derivative_gain=0.7
lon_deg,lat_deg,ele_m,agl_m,pitch_deg,heading_deg,roll_deg,vx_east,vy_up,vz_south,p_deg_s,q_deg_s,r_deg_s,aileron_cmd,elevator_cmd,rudder_cmd
13.01677282446219,47.8732065400759,1312.4415496468343,883.5330200195312,12.351186752319336,26.74199867248535,-5.557767391204834,16.67942237854004,4.063004493713379,-33.61741638183594,-0.638772684753668,0.525580708754954,-1.245210613646261,-0.22936703128783564,,
13.016835793392335,47.87329255205939,1313.6638936939771,884.5723876953125,12.52509593963623,26.33129119873047,-6.445578575134277,16.428438186645508,4.077538967132568,-33.654052734375,-3.9018578346042663,0.899488209088195,-1.3686054515219461,-0.2224922983361417,,
13.016879637715208,47.87335335673589,1314.5308479622392,885.2725830078125,12.672090530395508,26.028860092163086,-7.312087535858154,16.221912384033203,4.100989818572998,-33.688514709472656,-3.977148717372609,0.8747937668657196,-1.3810687324882212,-0.2220240334520541,,
13.016901341296037,47.873383784462064,1314.9663684142722,885.631103515625,12.737573623657227,25.874561309814453,-7.744050025939941,16.10881996154785,4.115393161773682,-33.7087287902832,-3.9511150244642823,0.8185384078707906,-1.4147578935173686,-0.22009955737810963,,
13.01692237624059,47.87341350458924,1315.3929300985199,885.9832763671875,12.793485641479492,25.71800994873047,-8.162470817565918,15.99290943145752,4.129800319671631,-33.73023986816406,-3.8916347489640497,0.7542274277192133,-1.503088034298089,-0.21493539609483028,,
13.01694032387312,47.873439051861475,1315.7604766166387,886.2872924804688,12.83444595336914,25.57503318786621,-8.519280433654785,15.888864517211914,4.141767978668213,-33.75027084350586,-3.830258242195492,0.6986753647653839,-1.605579611827479,-0.20875708075128963,,
13.016957770486224,47.87346406593706,1316.1210973803193,886.586181640625,12.867810249328613,25.426651000976562,-8.862248420715332,15.78298568725586,4.152919769287109,-33.77132034301758,-3.729839947244318,0.644647661296084,-1.7159174758876268,-0.20216011951806734,,
13.016975135947847,47.87348915183912,1316.4833953418895,886.8870239257812,12.894794464111328,25.26899528503418,-9.199703216552734,15.672802925109863,4.162906646728516,-33.793941497802734,-3.6340175158309167,0.5964162804720389,-1.82125628180556,-0.1959400343760144,,
13.016996080026372,47.873519679843916,1316.9249353665964,887.22802734375,12.92031192779541,25.06717300415039,-9.605762481689453,15.533540725708008,4.172585964202881,-33.82352066040039,-3.5543583002015273,0.5527261216724061,-1.933065411301611,-0.18919767158863487,,
13.01701247113652,47.8735437827268,1317.2738692211753,887.50341796875,12.935304641723633,24.900043487548828,-9.918983459472656,15.419776916503906,4.178585052490234,-33.848411560058594,-3.445177085988639,0.5234767970471785,-2.0295674465374285,-0.1834258117081861,,
13.017036382128213,47.87357930568175,1317.7883187951231,887.91015625,12.949966430664062,24.63937759399414,-10.369680404663086,15.246438980102539,4.183959007263184,-33.88750076293945,-3.321566456823864,0.4964937612050729,-2.1870541064381745,-0.1739782554882007,,
13.017051984118176,47.8736027301522,1318.1274708048009,888.1787719726562,12.955282211303711,24.457422256469727,-10.659738540649414,15.128466606140137,4.185513019561768,-33.91481399536133,-3.208330885008338,0.48357536552449293,-2.2965567664288766,-0.167381531131141,,
13.017068590605422,47.87362789291205,1318.4915295706446,888.4676513671875,12.957335472106934,24.25243377685547,-10.9638090133667,14.998636245727539,4.18530797958374,-33.94545364379883,-3.0960190962780563,0.4748580164311468,-2.419360152611121,-0.15998998027911487,,
13.017085266109302,47.873653409432556,1318.8602590517896,888.7605590820312,12.955787658691406,24.034231185913086,-11.264731407165527,14.863714218139648,4.183177947998047,-33.9778938293457,-2.9826955857769666,0.4697585865246447,-2.547335912985769,-0.15236987515655043,,
13.017101893377527,47.873679114349066,1319.2310570686786,889.0556640625,12.95090389251709,23.803556442260742,-11.563071250915527,14.724555969238281,4.178908824920654,-34.0119514465332,-2.8914094671895114,0.4698491398920003,-2.67877543304326,0.005780479086631742,,
13.017120449344311,47.873708134818415,1319.649592181768,889.3892822265625,12.930936813354492,23.536165237426758,-11.772436141967773,14.560775756835938,4.186485290527344,-34.051536560058594,-1.0305777886724283,0.29160225341113283,-2.777779238506006,-0.13839136455974801,,
13.0171366176807,47.87373371395512,1320.0177243805147,889.6832275390625,12.908598899841309,23.287145614624023,-11.967498779296875,14.417662620544434,4.175512313842773,-34.08758544921875,-1.9480408145002754,0.3558639548150656,-2.9619158024442607,-0.12732488711793707,,
13.017155775004062,47.87376440192029,1320.4575279000628,890.0347290039062,12.882948875427246,22.97020149230957,-12.261414527893066,14.242924690246582,4.1605072021484375,-34.132118225097656,-2.3154029658962343,0.41516555149939394,-3.1308592509040567,0.20735151404762012,,
13.017177628934942,47.87379993210877,1320.9659532529586,890.4420166015625,12.833916664123535,22.584863662719727,-12.384133338928223,14.028721809387207,4.1669230461120605,-34.18199157714844,0.625114067321788,0.20721905483618056,-3.3743166481141067,-0.10220449618063318,,
13.017210919558714,47.873855227209255,1321.7516825871446,891.0726318359375,12.753165245056152,21.928491592407227,-12.719500541687012,13.703107833862305,4.123706340789795,-34.267066955566406,-1.7427619335947753,0.41002097831134626,-3.678297205333286,-0.08376734216275114,,
13.017228125058647,47.87388439357713,1322.1622166793504,891.4024658203125,12.715719223022461,21.566728591918945,-12.969791412353516,13.526327133178711,4.100966453552246,-34.313655853271484,-1.834138018580204,0.45896528681043786,-3.746739115911399,-0.07963644961501448,,
